logical_name,kind,chapter,problem,subpart,source_pdf,source_pages_1based,used_crop_boxes_px,partition_windows_px,deskew_angles_deg,output_width_px,output_height_px
pb_2-1_(1)_question.png,question,2,1,1,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1508,""x1"":2005,""y1"":1577}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1508,""x1"":2005,""y1"":1580}]","{""1"":0.0}",2005,139
pb_2-1_(1)_solution.png,solution,2,1,1,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":2300,""x1"":2005,""y1"":2479}]","[{""page"":1,""x0"":0,""y0"":2300,""x1"":2005,""y1"":2480}]","{""1"":0.0}",2005,179
pb_2-1_(2)_question.png,question,2,1,2,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1583,""x1"":2005,""y1"":1687}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1580,""x1"":2005,""y1"":1688}]","{""1"":0.0}",2005,174
pb_2-1_(2)_solution.png,solution,2,1,2,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":196,""x1"":2005,""y1"":552}]","[{""page"":2,""x0"":0,""y0"":190,""x1"":2005,""y1"":552}]","{""2"":0.07698}",2005,356
pb_2-1_(3)_question.png,question,2,1,3,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1690,""x1"":2005,""y1"":1821}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1688,""x1"":2005,""y1"":1822}]","{""1"":0.0}",2005,201
pb_2-1_(3)_solution.png,solution,2,1,3,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":555,""x1"":2005,""y1"":804}]","[{""page"":2,""x0"":0,""y0"":552,""x1"":2005,""y1"":804}]","{""2"":0.07698}",2005,249
pb_2-1_(4)_question.png,question,2,1,4,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1827,""x1"":2005,""y1"":1936}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1822,""x1"":2005,""y1"":1936}]","{""1"":0.0}",2005,179
pb_2-1_(4)_solution.png,solution,2,1,4,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":809,""x1"":2005,""y1"":1042}]","[{""page"":2,""x0"":0,""y0"":804,""x1"":2005,""y1"":1045}]","{""2"":0.07698}",2005,233
pb_2-1_(5)_question.png,question,2,1,5,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1936,""x1"":2005,""y1"":2006}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1936,""x1"":2005,""y1"":2010}]","{""1"":0.0}",2005,140
pb_2-1_(5)_solution.png,solution,2,1,5,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":1045,""x1"":2005,""y1"":1157}]","[{""page"":2,""x0"":0,""y0"":1045,""x1"":2005,""y1"":1160}]","{""2"":0.07698}",2005,112
pb_2-1_(6)_question.png,question,2,1,6,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2014,""x1"":2005,""y1"":2118}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2010,""x1"":2005,""y1"":2118}]","{""1"":0.0}",2005,174
pb_2-1_(6)_solution.png,solution,2,1,6,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":1167,""x1"":2005,""y1"":1510}]","[{""page"":2,""x0"":0,""y0"":1160,""x1"":2005,""y1"":1510}]","{""2"":0.07698}",2005,343
pb_2-1_(7)_question.png,question,2,1,7,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2120,""x1"":2005,""y1"":2190}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2118,""x1"":2005,""y1"":2190}]","{""1"":0.0}",2005,140
pb_2-1_(7)_solution.png,solution,2,1,7,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":1514,""x1"":2005,""y1"":1697}]","[{""page"":2,""x0"":0,""y0"":1510,""x1"":2005,""y1"":1700}]","{""2"":0.07698}",2005,183
pb_2-1_(8)_question.png,question,2,1,8,ch2.pdf,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2193,""x1"":2005,""y1"":2300}]","[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2190,""x1"":2005,""y1"":2300}]","{""1"":0.0}",2005,177
pb_2-1_(8)_solution.png,solution,2,1,8,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":1704,""x1"":2005,""y1"":2060}]","[{""page"":2,""x0"":0,""y0"":1700,""x1"":2005,""y1"":2060}]","{""2"":0.07698}",2005,356
pb_2-2_(1)_question.png,question,2,2,1,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":2,""x0"":0,""y0"":2140,""x1"":2005,""y1"":2244}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":2,""x0"":0,""y0"":2140,""x1"":2005,""y1"":2257}]","{""2"":0.07698}",2005,174
pb_2-2_(1)_solution.png,solution,2,2,1,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":647,""x1"":2005,""y1"":755}]","[{""page"":3,""x0"":0,""y0"":645,""x1"":2005,""y1"":755}]","{""3"":0.01597}",2005,108
pb_2-2_(2)_question.png,question,2,2,2,ch2.pdf,2,"[{""page"":2,""x0"":0,""y0"":2064,""x1"":2005,""y1"":2134},{""page"":2,""x0"":0,""y0"":2257,""x1"":2005,""y1"":2360}]","[{""page"":2,""x0"":0,""y0"":2060,""x1"":2005,""y1"":2140},{""page"":2,""x0"":0,""y0"":2257,""x1"":2005,""y1"":2370}]","{""2"":0.07698}",2005,173
pb_2-2_(2)_solution.png,solution,2,2,2,ch2.pdf,3,"[{""page"":3,""x0"":0,""y0"":758,""x1"":2005,""y1"":868}]","[{""page"":3,""x0"":0,""y0"":755,""x1"":2005,""y1"":875}]","{""3"":0.01597}",2005,110
