output_file,status,pixel_source,prior_zip_usage,source_pages_1based,trace_boxes_px,notes
question/pb_2-10_(a)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,12,"[{""page"":12,""x0"":0,""y0"":1761,""x1"":2005,""y1"":1830},{""page"":12,""x0"":160,""y0"":1901,""x1"":630,""y1"":2208}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-10_(b)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,12,"[{""page"":12,""x0"":0,""y0"":1761,""x1"":2005,""y1"":1830},{""page"":12,""x0"":620,""y0"":1907,""x1"":1080,""y1"":2208}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-10_(c)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,12,"[{""page"":12,""x0"":0,""y0"":1761,""x1"":2005,""y1"":1830},{""page"":12,""x0"":1050,""y0"":1851,""x1"":1660,""y1"":2207}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-11_(a)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,13,"[{""page"":13,""x0"":0,""y0"":1140,""x1"":2005,""y1"":1207},{""page"":13,""x0"":220,""y0"":1253,""x1"":860,""y1"":1596}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-11_(b)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,13,"[{""page"":13,""x0"":0,""y0"":1140,""x1"":2005,""y1"":1207},{""page"":13,""x0"":860,""y0"":1225,""x1"":1660,""y1"":1583}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-11_(c)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,13,"[{""page"":13,""x0"":0,""y0"":1140,""x1"":2005,""y1"":1207},{""page"":13,""x0"":210,""y0"":1627,""x1"":870,""y1"":1956}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-11_(d)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,13,"[{""page"":13,""x0"":0,""y0"":1140,""x1"":2005,""y1"":1207},{""page"":13,""x0"":870,""y0"":1630,""x1"":1730,""y1"":1957}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-12_(a)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,14,"[{""page"":14,""x0"":0,""y0"":1600,""x1"":2005,""y1"":1668},{""page"":14,""x0"":180,""y0"":1731,""x1"":930,""y1"":1920}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-12_(b)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,14,"[{""page"":14,""x0"":0,""y0"":1600,""x1"":2005,""y1"":1668},{""page"":14,""x0"":900,""y0"":1689,""x1"":1700,""y1"":1920}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-13_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,15,"[{""page"":15,""x0"":0,""y0"":1441,""x1"":2005,""y1"":2087}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-14_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,16,"[{""page"":16,""x0"":0,""y0"":861,""x1"":2005,""y1"":930},{""page"":16,""x0"":0,""y0"":930,""x1"":1450,""y1"":1060},{""page"":16,""x0"":1500,""y0"":946,""x1"":1930,""y1"":1528}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-15_(1)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,16,"[{""page"":16,""x0"":0,""y0"":1520,""x1"":2005,""y1"":1580},{""page"":16,""x0"":350,""y0"":1603,""x1"":1600,""y1"":1986},{""page"":16,""x0"":0,""y0"":2030,""x1"":2005,""y1"":2100}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-15_(2)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,16,"[{""page"":16,""x0"":0,""y0"":1520,""x1"":2005,""y1"":1580},{""page"":16,""x0"":350,""y0"":1603,""x1"":1600,""y1"":1986},{""page"":16,""x0"":0,""y0"":2100,""x1"":2005,""y1"":2165}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-16_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,17,"[{""page"":17,""x0"":0,""y0"":885,""x1"":2005,""y1"":1530}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-17_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,18,"[{""page"":18,""x0"":0,""y0"":815,""x1"":2005,""y1"":995}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-18_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,18,"[{""page"":18,""x0"":0,""y0"":1282,""x1"":2005,""y1"":1720}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-19_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,19,"[{""page"":19,""x0"":0,""y0"":281,""x1"":2005,""y1"":660}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(1)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1508,""x1"":2005,""y1"":1577}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(2)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1583,""x1"":2005,""y1"":1687}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(3)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1690,""x1"":2005,""y1"":1821}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(4)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1827,""x1"":2005,""y1"":1936}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(5)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":1936,""x1"":2005,""y1"":2006}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(6)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2014,""x1"":2005,""y1"":2118}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(7)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2120,""x1"":2005,""y1"":2190}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-1_(8)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,1,"[{""page"":1,""x0"":0,""y0"":1438,""x1"":2005,""y1"":1508},{""page"":1,""x0"":0,""y0"":2193,""x1"":2005,""y1"":2300}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-20_(a)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,19;20,"[{""page"":19,""x0"":0,""y0"":1455,""x1"":2005,""y1"":1520},{""page"":20,""x0"":120,""y0"":195,""x1"":850,""y1"":400}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-20_(b)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,19;20,"[{""page"":19,""x0"":0,""y0"":1455,""x1"":2005,""y1"":1520},{""page"":20,""x0"":120,""y0"":400,""x1"":850,""y1"":610}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
question/pb_2-20_(c)_question.png,rebuilt_from_source_pdf,ch2.pdf embedded scan image,filename/subquestion roster only; no prior PNG decoded or cropped,19;20,"[{""page"":19,""x0"":0,""y0"":1455,""x1"":2005,""y1"":1520},{""page"":20,""x0"":120,""y0"":600,""x1"":850,""y1"":830}]",pure pb_; x-position preserved on 2005px canvas; vertical outer-ink trim with <=15px source padding
